Average Seek Time,Battery Capacity,Bus Speed,Cable Length,Cache Memory,Clock Speed,Data Transfer Rate,Height,Input,Length,Memory,Memory Speed,Memory Type,Output Voltage,Power Supply,Price,Reading Speed,Rotational Speed,Screen Size,Storage Capacity,Warranty,Weight,Width,Writing Speed,Resolution
,,,,,,,281.94 mm,,,,,,,,,,,,,,116.00 g,250.00 mm,,
,,,,,,,284.4 mm,,,,,,,,,,,,,,116.20 g,254.00 mm,,
,,,,,,,289.56 mm,,,,,,,,,,,,,,117.00 g,256.10 mm,,
,,,,,,,299 mm,,,,,,,,,,,,,,118.00 g,260.00 mm,,
,,,,,,,304.8 mm,,,,,,,,,,,,,,119.00 g,260.10 mm,,
,,,,,,,305 mm,,,,,,,,,,,,,,120.00 g,264.16 mm,,
,,,,,,,307.34 mm,,,,,,,,,,,,,,121.00 g,276.86 mm,,
,,,,,,,313 mm,,,,,,,,,,,,,,121.90 g,279.40 mm,,
,,,,,,,317.5 mm,,,,,,,,,,,,,,122.00 g,285.00 mm,,
,,,,,,,318 mm,,,,,,,,,,,,,,122.50 g,287.00 mm,,
,,,,,,,330.2 mm,,,,,,,,,,,,,,123.00 g,290.47 mm,,
,,,,,,,332.74 mm,,,,,,,,,,,,,,124.00 g,292.10 mm,,
,,,,,,,336.1 mm,,,,,,,,,,,,,,125.00 g,294.64 mm,,
,,,,,,,340 mm,,,,,,,,,,,,,,126.00 g,299.72 mm,,
,,,,,,,350 mm,,,,,,,,,,,,,,127.00 g,304.80 mm,,
,,,,,,,363.22 mm,,,,,,,,,,,,,,128.00 g,316.00 mm,,
,,,,,,,370.84 mm,,,,,,,,,,,,,,129.00 g,322.58 mm,,
,,,,,,,380 mm,,,,,,,,,,,,,,130.00 g,325.50 mm,,
,,,,,,,396.9 mm,,,,,,,,,,,,,,132.00 g,330.20 mm,,
,,,,,,,403.2 mm,,,,,,,,,,,,,,133.00 g,347.98 mm,,
,,,,,,,406.4 mm,,,,,,,,,,,,,,134.00 g,350.00 mm,,
,,,,,,,408.94 mm,,,,,,,,,,,,,,135.00 g,355.60 mm,,
,,,,,,,414.02 mm,,,,,,,,,,,,,,136.00 g,368.30 mm,,
,,,,,,,424.18 mm,,,,,,,,,,,,,,137.00 g,381.00 mm,,
,,,,,,,426.72 mm,,,,,,,,,,,,,,138.00 g,383.54 mm,,
,,,,,,,429.26 mm,,,,,,,,,,,,,,138.92 g,403.86 mm,,
,,,,,,,434.34 mm,,,,,,,,,,,,,,139.00 g,406.40 mm,,
,,,,,,,452.12 mm,,,,,,,,,,,,,,140.00 g,408.94 mm,,
,,,,,,,480.06 mm,,,,,,,,,,,,,,141.00 g,414.02 mm,,
,,,,,,,497 mm,,,,,,,,,,,,,,141.70 g,416.56 mm,,
,,,,,,,510 mm,,,,,,,,,,,,,,142.00 g,431.80 mm,,
,,,,,,,515.62 mm,,,,,,,,,,,,,,144.60 g,436.88 mm,,
,,,,,,,548.64 mm,,,,,,,,,,,,,,145.00 g,437.00 mm,,
,,,,,,,551.18 mm,,,,,,,,,,,,,,146.00 g,439.42 mm,,
,,,,,,,588 mm,,,,,,,,,,,,,,147.00 g,441.96 mm,,
,,,,,,,644 mm,,,,,,,,,,,,,,148.00 g,443.20 mm,,
,,,,,,,650.24 mm,,,,,,,,,,,,,,149.00 g,444.50 mm,,
,,,,,,,1,,,,,,,,,,,,,,149.60 g,447.04 mm,,
,,,,,,,135.38 mm,,,,,,,,,,,,,,150.00 g,449.58 mm,,
,,,,,,,1,,,,,,,,,,,,,,150.26 g,452.12 mm,,
,,,,,,,397 mm,,,,,,,,,,,,,,151.00 g,457.20 mm,,
,,,,,,,2,,,,,,,,,,,,,,153.00 g,482.60 mm,,
,,,,,,,000 mm,,,,,,,,,,,,,,154.00 g,485.14 mm,,
,,,,,,,,,,,,,,,,,,,,,155.00 g,533.40 mm,,
,,,,,,,,,,,,,,,,,,,,,155.93 g,622.30 mm,,
,,,,,,,,,,,,,,,,,,,,,156.00 g,657.86 mm,,
,,,,,,,,,,,,,,,,,,,,,157.00 g,,,
,,,,,,,,,,,,,,,,,,,,,158.00 g,,,
,,,,,,,,,,,,,,,,,,,,,158.80 g,,,
,,,,,,,,,,,,,,,,,,,,,159.00 g,,,
,,,,,,,,,,,,,,,,,,,,,160.00 g,,,
,,,,,,,,,,,,,,,,,,,,,161.00 g,,,
,,,,,,,,,,,,,,,,,,,,,162.00 g,,,
,,,,,,,,,,,,,,,,,,,,,163.00 g,,,
,,,,,,,,,,,,,,,,,,,,,164.00 g,,,
,,,,,,,,,,,,,,,,,,,,,165.00 g,,,
,,,,,,,,,,,,,,,,,,,,,167.00 g,,,
,,,,,,,,,,,,,,,,,,,,,170.00 g,,,
,,,,,,,,,,,,,,,,,,,,,170.10 g,,,
,,,,,,,,,,,,,,,,,,,,,171.00 g,,,
,,,,,,,,,,,,,,,,,,,,,172.00 g,,,
,,,,,,,,,,,,,,,,,,,,,173.00 g,,,
,,,,,,,,,,,,,,,,,,,,,174.00 g,,,
,,,,,,,,,,,,,,,,,,,,,175.00 g,,,
,,,,,,,,,,,,,,,,,,,,,176.00 g,,,
,,,,,,,,,,,,,,,,,,,,,177.00 g,,,
,,,,,,,,,,,,,,,,,,,,,178.00 g,,,
,,,,,,,,,,,,,,,,,,,,,180.00 g,,,
,,,,,,,,,,,,,,,,,,,,,180.60 g,,,
,,,,,,,,,,,,,,,,,,,,,181.00 g,,,
,,,,,,,,,,,,,,,,,,,,,181.44 g,,,
,,,,,,,,,,,,,,,,,,,,,182.00 g,,,
,,,,,,,,,,,,,,,,,,,,,182.01 g,,,
,,,,,,,,,,,,,,,,,,,,,182.86 g,,,
,,,,,,,,,,,,,,,,,,,,,183.00 g,,,
,,,,,,,,,,,,,,,,,,,,,185.00 g,,,
,,,,,,,,,,,,,,,,,,,,,186.00 g,,,
,,,,,,,,,,,,,,,,,,,,,187.00 g,,,
,,,,,,,,,,,,,,,,,,,,,188.00 g,,,
,,,,,,,,,,,,,,,,,,,,,189.00 g,,,
,,,,,,,,,,,,,,,,,,,,,190.00 g,,,
,,,,,,,,,,,,,,,,,,,,,191.00 g,,,
,,,,,,,,,,,,,,,,,,,,,191.08 g,,,
,,,,,,,,,,,,,,,,,,,,,192.00 g,,,
,,,,,,,,,,,,,,,,,,,,,193.00 g,,,
,,,,,,,,,,,,,,,,,,,,,195.00 g,,,
,,,,,,,,,,,,,,,,,,,,,195.04 g,,,
,,,,,,,,,,,,,,,,,,,,,196.00 g,,,
,,,,,,,,,,,,,,,,,,,,,199.20 g,,,
,,,,,,,,,,,,,,,,,,,,,200.00 g,,,
,,,,,,,,,,,,,,,,,,,,,201.30 g,,,
,,,,,,,,,,,,,,,,,,,,,202.00 g,,,
,,,,,,,,,,,,,,,,,,,,,207.00 g,,,
,,,,,,,,,,,,,,,,,,,,,208.00 g,,,
,,,,,,,,,,,,,,,,,,,,,208.94 g,,,
,,,,,,,,,,,,,,,,,,,,,210.00 g,,,
,,,,,,,,,,,,,,,,,,,,,211.00 g,,,
,,,,,,,,,,,,,,,,,,,,,212.00 g,,,
,,,,,,,,,,,,,,,,,,,,,213.00 g,,,
,,,,,,,,,,,,,,,,,,,,,214.00 g,,,
,,,,,,,,,,,,,,,,,,,,,215.00 g,,,
,,,,,,,,,,,,,,,,,,,,,216.00 g,,,
,,,,,,,,,,,,,,,,,,,,,217.00 g,,,
,,,,,,,,,,,,,,,,,,,,,218.00 g,,,
,,,,,,,,,,,,,,,,,,,,,220.00 g,,,
,,,,,,,,,,,,,,,,,,,,,221.00 g,,,
,,,,,,,,,,,,,,,,,,,,,222.26 g,,,
,,,,,,,,,,,,,,,,,,,,,223.00 g,,,
,,,,,,,,,,,,,,,,,,,,,225.00 g,,,
,,,,,,,,,,,,,,,,,,,,,226.00 g,,,
,,,,,,,,,,,,,,,,,,,,,226.80 g,,,
,,,,,,,,,,,,,,,,,,,,,227.00 g,,,
,,,,,,,,,,,,,,,,,,,,,228.00 g,,,
,,,,,,,,,,,,,,,,,,,,,230.00 g,,,
,,,,,,,,,,,,,,,,,,,,,235.00 g,,,
,,,,,,,,,,,,,,,,,,,,,235.87 g,,,
,,,,,,,,,,,,,,,,,,,,,236.00 g,,,
,,,,,,,,,,,,,,,,,,,,,237.00 g,,,
,,,,,,,,,,,,,,,,,,,,,238.00 g,,,
,,,,,,,,,,,,,,,,,,,,,239.00 g,,,
,,,,,,,,,,,,,,,,,,,,,240.00 g,,,
,,,,,,,,,,,,,,,,,,,,,240.98 g,,,
,,,,,,,,,,,,,,,,,,,,,241.00 g,,,
,,,,,,,,,,,,,,,,,,,,,242.00 g,,,
,,,,,,,,,,,,,,,,,,,,,247.00 g,,,
,,,,,,,,,,,,,,,,,,,,,250.00 g,,,
,,,,,,,,,,,,,,,,,,,,,252.00 g,,,
,,,,,,,,,,,,,,,,,,,,,253.00 g,,,
,,,,,,,,,,,,,,,,,,,,,255.00 g,,,
,,,,,,,,,,,,,,,,,,,,,255.10 g,,,
,,,,,,,,,,,,,,,,,,,,,255.20 g,,,
,,,,,,,,,,,,,,,,,,,,,259.00 g,,,
,,,,,,,,,,,,,,,,,,,,,260.00 g,,,
,,,,,,,,,,,,,,,,,,,,,263.09 g,,,
,,,,,,,,,,,,,,,,,,,,,264.00 g,,,
,,,,,,,,,,,,,,,,,,,,,265.00 g,,,
,,,,,,,,,,,,,,,,,,,,,267.00 g,,,
,,,,,,,,,,,,,,,,,,,,,267.91 g,,,
,,,,,,,,,,,,,,,,,,,,,270.00 g,,,
,,,,,,,,,,,,,,,,,,,,,272.00 g,,,
,,,,,,,,,,,,,,,,,,,,,272.20 g,,,
,,,,,,,,,,,,,,,,,,,,,277.00 g,,,
,,,,,,,,,,,,,,,,,,,,,278.00 g,,,
,,,,,,,,,,,,,,,,,,,,,279.00 g,,,
,,,,,,,,,,,,,,,,,,,,,280.00 g,,,
,,,,,,,,,,,,,,,,,,,,,281.00 g,,,
,,,,,,,,,,,,,,,,,,,,,281.20 g,,,
,,,,,,,,,,,,,,,,,,,,,281.23 g,,,
,,,,,,,,,,,,,,,,,,,,,282.00 g,,,
,,,,,,,,,,,,,,,,,,,,,283.50 g,,,
,,,,,,,,,,,,,,,,,,,,,283.78 g,,,
,,,,,,,,,,,,,,,,,,,,,284.00 g,,,
,,,,,,,,,,,,,,,,,,,,,285.00 g,,,
,,,,,,,,,,,,,,,,,,,,,287.00 g,,,
,,,,,,,,,,,,,,,,,,,,,288.00 g,,,
,,,,,,,,,,,,,,,,,,,,,289.00 g,,,
,,,,,,,,,,,,,,,,,,,,,290.30 g,,,
,,,,,,,,,,,,,,,,,,,,,291.00 g,,,
,,,,,,,,,,,,,,,,,,,,,293.00 g,,,
,,,,,,,,,,,,,,,,,,,,,294.00 g,,,
,,,,,,,,,,,,,,,,,,,,,297.00 g,,,
,,,,,,,,,,,,,,,,,,,,,298.00 g,,,
,,,,,,,,,,,,,,,,,,,,,299.00 g,,,
,,,,,,,,,,,,,,,,,,,,,299.37 g,,,
,,,,,,,,,,,,,,,,,,,,,300.00 g,,,
,,,,,,,,,,,,,,,,,,,,,301.00 g,,,
,,,,,,,,,,,,,,,,,,,,,303.00 g,,,
,,,,,,,,,,,,,,,,,,,,,304.00 g,,,
,,,,,,,,,,,,,,,,,,,,,306.00 g,,,
,,,,,,,,,,,,,,,,,,,,,308.60 g,,,
,,,,,,,,,,,,,,,,,,,,,310.00 g,,,
,,,,,,,,,,,,,,,,,,,,,311.00 g,,,
,,,,,,,,,,,,,,,,,,,,,312.00 g,,,
,,,,,,,,,,,,,,,,,,,,,314.00 g,,,
,,,,,,,,,,,,,,,,,,,,,316.00 g,,,
,,,,,,,,,,,,,,,,,,,,,317.50 g,,,
,,,,,,,,,,,,,,,,,,,,,320.00 g,,,
,,,,,,,,,,,,,,,,,,,,,322.00 g,,,
,,,,,,,,,,,,,,,,,,,,,324.00 g,,,
,,,,,,,,,,,,,,,,,,,,,325.00 g,,,
,,,,,,,,,,,,,,,,,,,,,326.00 g,,,
,,,,,,,,,,,,,,,,,,,,,330.00 g,,,
,,,,,,,,,,,,,,,,,,,,,331.00 g,,,
,,,,,,,,,,,,,,,,,,,,,335.00 g,,,
,,,,,,,,,,,,,,,,,,,,,335.07 g,,,
,,,,,,,,,,,,,,,,,,,,,337.00 g,,,
,,,,,,,,,,,,,,,,,,,,,338.00 g,,,
,,,,,,,,,,,,,,,,,,,,,340.00 g,,,
,,,,,,,,,,,,,,,,,,,,,345.00 g,,,
,,,,,,,,,,,,,,,,,,,,,346.00 g,,,
,,,,,,,,,,,,,,,,,,,,,347.00 g,,,
,,,,,,,,,,,,,,,,,,,,,348.71 g,,,
,,,,,,,,,,,,,,,,,,,,,349.00 g,,,
,,,,,,,,,,,,,,,,,,,,,350.00 g,,,
,,,,,,,,,,,,,,,,,,,,,351.00 g,,,
,,,,,,,,,,,,,,,,,,,,,352.00 g,,,
,,,,,,,,,,,,,,,,,,,,,353.00 g,,,
,,,,,,,,,,,,,,,,,,,,,354.00 g,,,
,,,,,,,,,,,,,,,,,,,,,356.00 g,,,
,,,,,,,,,,,,,,,,,,,,,357.00 g,,,
,,,,,,,,,,,,,,,,,,,,,358.00 g,,,
,,,,,,,,,,,,,,,,,,,,,359.00 g,,,
,,,,,,,,,,,,,,,,,,,,,360.00 g,,,
,,,,,,,,,,,,,,,,,,,,,361.00 g,,,
,,,,,,,,,,,,,,,,,,,,,362.00 g,,,
,,,,,,,,,,,,,,,,,,,,,362.90 g,,,
,,,,,,,,,,,,,,,,,,,,,363.00 g,,,
,,,,,,,,,,,,,,,,,,,,,364.00 g,,,
,,,,,,,,,,,,,,,,,,,,,365.00 g,,,
,,,,,,,,,,,,,,,,,,,,,366.00 g,,,
,,,,,,,,,,,,,,,,,,,,,367.00 g,,,
,,,,,,,,,,,,,,,,,,,,,368.00 g,,,
,,,,,,,,,,,,,,,,,,,,,369.00 g,,,
,,,,,,,,,,,,,,,,,,,,,370.00 g,,,
,,,,,,,,,,,,,,,,,,,,,371.00 g,,,
,,,,,,,,,,,,,,,,,,,,,372.00 g,,,
,,,,,,,,,,,,,,,,,,,,,373.00 g,,,
,,,,,,,,,,,,,,,,,,,,,374.00 g,,,
,,,,,,,,,,,,,,,,,,,,,375.00 g,,,
,,,,,,,,,,,,,,,,,,,,,375.90 g,,,
,,,,,,,,,,,,,,,,,,,,,376.00 g,,,
,,,,,,,,,,,,,,,,,,,,,377.00 g,,,
,,,,,,,,,,,,,,,,,,,,,378.00 g,,,
,,,,,,,,,,,,,,,,,,,,,379.00 g,,,
,,,,,,,,,,,,,,,,,,,,,380.00 g,,,
,,,,,,,,,,,,,,,,,,,,,381.00 g,,,
,,,,,,,,,,,,,,,,,,,,,383.00 g,,,
,,,,,,,,,,,,,,,,,,,,,384.00 g,,,
,,,,,,,,,,,,,,,,,,,,,385.00 g,,,
,,,,,,,,,,,,,,,,,,,,,385.60 g,,,
,,,,,,,,,,,,,,,,,,,,,386.00 g,,,
,,,,,,,,,,,,,,,,,,,,,387.00 g,,,
,,,,,,,,,,,,,,,,,,,,,388.00 g,,,
,,,,,,,,,,,,,,,,,,,,,389.00 g,,,
,,,,,,,,,,,,,,,,,,,,,390.00 g,,,
,,,,,,,,,,,,,,,,,,,,,391.00 g,,,
,,,,,,,,,,,,,,,,,,,,,391.20 g,,,
,,,,,,,,,,,,,,,,,,,,,393.00 g,,,
,,,,,,,,,,,,,,,,,,,,,394.00 g,,,
,,,,,,,,,,,,,,,,,,,,,394.60 g,,,
,,,,,,,,,,,,,,,,,,,,,395.00 g,,,
,,,,,,,,,,,,,,,,,,,,,396.00 g,,,
,,,,,,,,,,,,,,,,,,,,,397.00 g,,,
,,,,,,,,,,,,,,,,,,,,,399.00 g,,,
,,,,,,,,,,,,,,,,,,,,,399.16 g,,,
,,,,,,,,,,,,,,,,,,,,,400.00 g,,,
,,,,,,,,,,,,,,,,,,,,,401.00 g,,,
,,,,,,,,,,,,,,,,,,,,,403.00 g,,,
,,,,,,,,,,,,,,,,,,,,,405.00 g,,,
,,,,,,,,,,,,,,,,,,,,,406.00 g,,,
,,,,,,,,,,,,,,,,,,,,,407.00 g,,,
,,,,,,,,,,,,,,,,,,,,,408.00 g,,,
,,,,,,,,,,,,,,,,,,,,,408.20 g,,,
,,,,,,,,,,,,,,,,,,,,,409.60 g,,,
,,,,,,,,,,,,,,,,,,,,,410.00 g,,,
,,,,,,,,,,,,,,,,,,,,,410.60 g,,,
,,,,,,,,,,,,,,,,,,,,,412.00 g,,,
,,,,,,,,,,,,,,,,,,,,,413.00 g,,,
,,,,,,,,,,,,,,,,,,,,,414.00 g,,,
,,,,,,,,,,,,,,,,,,,,,415.00 g,,,
,,,,,,,,,,,,,,,,,,,,,417.00 g,,,
,,,,,,,,,,,,,,,,,,,,,418.00 g,,,
,,,,,,,,,,,,,,,,,,,,,420.00 g,,,
,,,,,,,,,,,,,,,,,,,,,424.00 g,,,
,,,,,,,,,,,,,,,,,,,,,425.00 g,,,
,,,,,,,,,,,,,,,,,,,,,428.00 g,,,
,,,,,,,,,,,,,,,,,,,,,430.00 g,,,
,,,,,,,,,,,,,,,,,,,,,431.00 g,,,
,,,,,,,,,,,,,,,,,,,,,432.00 g,,,
,,,,,,,,,,,,,,,,,,,,,433.00 g,,,
,,,,,,,,,,,,,,,,,,,,,435.00 g,,,
,,,,,,,,,,,,,,,,,,,,,438.00 g,,,
,,,,,,,,,,,,,,,,,,,,,439.00 g,,,
,,,,,,,,,,,,,,,,,,,,,440.00 g,,,
,,,,,,,,,,,,,,,,,,,,,445.00 g,,,
,,,,,,,,,,,,,,,,,,,,,447.00 g,,,
,,,,,,,,,,,,,,,,,,,,,448.00 g,,,
,,,,,,,,,,,,,,,,,,,,,449.80 g,,,
,,,,,,,,,,,,,,,,,,,,,449.91 g,,,
,,,,,,,,,,,,,,,,,,,,,450.00 g,,,
,,,,,,,,,,,,,,,,,,,,,453.00 g,,,
,,,,,,,,,,,,,,,,,,,,,453.59 g,,,
,,,,,,,,,,,,,,,,,,,,,453.60 g,,,
,,,,,,,,,,,,,,,,,,,,,455.00 g,,,
,,,,,,,,,,,,,,,,,,,,,456.00 g,,,
,,,,,,,,,,,,,,,,,,,,,457.00 g,,,
,,,,,,,,,,,,,,,,,,,,,458.00 g,,,
,,,,,,,,,,,,,,,,,,,,,465.00 g,,,
,,,,,,,,,,,,,,,,,,,,,467.00 g,,,
,,,,,,,,,,,,,,,,,,,,,473.00 g,,,
,,,,,,,,,,,,,,,,,,,,,474.00 g,,,
,,,,,,,,,,,,,,,,,,,,,475.00 g,,,
,,,,,,,,,,,,,,,,,,,,,476.00 g,,,
,,,,,,,,,,,,,,,,,,,,,477.00 g,,,
,,,,,,,,,,,,,,,,,,,,,478.00 g,,,
,,,,,,,,,,,,,,,,,,,,,480.00 g,,,
,,,,,,,,,,,,,,,,,,,,,481.00 g,,,
,,,,,,,,,,,,,,,,,,,,,482.00 g,,,
,,,,,,,,,,,,,,,,,,,,,485.00 g,,,
,,,,,,,,,,,,,,,,,,,,,487.00 g,,,
,,,,,,,,,,,,,,,,,,,,,490.00 g,,,
,,,,,,,,,,,,,,,,,,,,,494.00 g,,,
,,,,,,,,,,,,,,,,,,,,,495.00 g,,,
,,,,,,,,,,,,,,,,,,,,,498.90 g,,,
,,,,,,,,,,,,,,,,,,,,,500.00 g,,,
,,,,,,,,,,,,,,,,,,,,,503.00 g,,,
,,,,,,,,,,,,,,,,,,,,,509.00 g,,,
,,,,,,,,,,,,,,,,,,,,,510.00 g,,,
,,,,,,,,,,,,,,,,,,,,,510.30 g,,,
,,,,,,,,,,,,,,,,,,,,,511.00 g,,,
,,,,,,,,,,,,,,,,,,,,,512.00 g,,,
,,,,,,,,,,,,,,,,,,,,,513.00 g,,,
,,,,,,,,,,,,,,,,,,,,,513.14 g,,,
,,,,,,,,,,,,,,,,,,,,,514.00 g,,,
,,,,,,,,,,,,,,,,,,,,,515.00 g,,,
,,,,,,,,,,,,,,,,,,,,,516.00 g,,,
,,,,,,,,,,,,,,,,,,,,,517.00 g,,,
,,,,,,,,,,,,,,,,,,,,,518.00 g,,,
,,,,,,,,,,,,,,,,,,,,,519.00 g,,,
,,,,,,,,,,,,,,,,,,,,,520.00 g,,,
,,,,,,,,,,,,,,,,,,,,,522.00 g,,,
,,,,,,,,,,,,,,,,,,,,,524.00 g,,,
,,,,,,,,,,,,,,,,,,,,,525.00 g,,,
,,,,,,,,,,,,,,,,,,,,,527.00 g,,,
,,,,,,,,,,,,,,,,,,,,,528.00 g,,,
,,,,,,,,,,,,,,,,,,,,,530.00 g,,,
,,,,,,,,,,,,,,,,,,,,,531.00 g,,,
,,,,,,,,,,,,,,,,,,,,,533.00 g,,,
,,,,,,,,,,,,,,,,,,,,,538.60 g,,,
,,,,,,,,,,,,,,,,,,,,,540.00 g,,,
,,,,,,,,,,,,,,,,,,,,,542.00 g,,,
,,,,,,,,,,,,,,,,,,,,,549.00 g,,,
,,,,,,,,,,,,,,,,,,,,,550.00 g,,,
,,,,,,,,,,,,,,,,,,,,,553.38 g,,,
,,,,,,,,,,,,,,,,,,,,,559.00 g,,,
,,,,,,,,,,,,,,,,,,,,,564.00 g,,,
,,,,,,,,,,,,,,,,,,,,,567.00 g,,,
,,,,,,,,,,,,,,,,,,,,,568.00 g,,,
,,,,,,,,,,,,,,,,,,,,,570.00 g,,,
,,,,,,,,,,,,,,,,,,,,,573.00 g,,,
,,,,,,,,,,,,,,,,,,,,,576.06 g,,,
,,,,,,,,,,,,,,,,,,,,,578.00 g,,,
,,,,,,,,,,,,,,,,,,,,,583.00 g,,,
,,,,,,,,,,,,,,,,,,,,,586.00 g,,,
,,,,,,,,,,,,,,,,,,,,,589.96 g,,,
,,,,,,,,,,,,,,,,,,,,,590.00 g,,,
,,,,,,,,,,,,,,,,,,,,,594.00 g,,,
,,,,,,,,,,,,,,,,,,,,,595.40 g,,,
,,,,,,,,,,,,,,,,,,,,,598.74 g,,,
,,,,,,,,,,,,,,,,,,,,,599.89 g,,,
,,,,,,,,,,,,,,,,,,,,,600.00 g,,,
,,,,,,,,,,,,,,,,,,,,,605.00 g,,,
,,,,,,,,,,,,,,,,,,,,,613.00 g,,,
,,,,,,,,,,,,,,,,,,,,,620.00 g,,,
,,,,,,,,,,,,,,,,,,,,,621.42 g,,,
,,,,,,,,,,,,,,,,,,,,,625.00 g,,,
,,,,,,,,,,,,,,,,,,,,,625.95 g,,,
,,,,,,,,,,,,,,,,,,,,,626.00 g,,,
,,,,,,,,,,,,,,,,,,,,,635.00 g,,,
,,,,,,,,,,,,,,,,,,,,,637.00 g,,,
,,,,,,,,,,,,,,,,,,,,,647.00 g,,,
,,,,,,,,,,,,,,,,,,,,,650.00 g,,,
,,,,,,,,,,,,,,,,,,,,,651.00 g,,,
,,,,,,,,,,,,,,,,,,,,,660.00 g,,,
,,,,,,,,,,,,,,,,,,,,,668.00 g,,,
,,,,,,,,,,,,,,,,,,,,,673.00 g,,,
,,,,,,,,,,,,,,,,,,,,,680.00 g,,,
,,,,,,,,,,,,,,,,,,,,,680.39 g,,,
,,,,,,,,,,,,,,,,,,,,,686.00 g,,,
,,,,,,,,,,,,,,,,,,,,,688.00 g,,,
,,,,,,,,,,,,,,,,,,,,,690.00 g,,,
,,,,,,,,,,,,,,,,,,,,,694.00 g,,,
,,,,,,,,,,,,,,,,,,,,,698.53 g,,,
,,,,,,,,,,,,,,,,,,,,,700.00 g,,,
,,,,,,,,,,,,,,,,,,,,,706.70 g,,,
,,,,,,,,,,,,,,,,,,,,,710.00 g,,,
,,,,,,,,,,,,,,,,,,,,,711.59 g,,,
,,,,,,,,,,,,,,,,,,,,,715.00 g,,,
,,,,,,,,,,,,,,,,,,,,,716.00 g,,,
,,,,,,,,,,,,,,,,,,,,,720.00 g,,,
,,,,,,,,,,,,,,,,,,,,,722.00 g,,,
,,,,,,,,,,,,,,,,,,,,,725.75 g,,,
,,,,,,,,,,,,,,,,,,,,,725.76 g,,,
,,,,,,,,,,,,,,,,,,,,,730.00 g,,,
,,,,,,,,,,,,,,,,,,,,,730.01 g,,,
,,,,,,,,,,,,,,,,,,,,,747.00 g,,,
,,,,,,,,,,,,,,,,,,,,,748.00 g,,,
,,,,,,,,,,,,,,,,,,,,,748.50 g,,,
,,,,,,,,,,,,,,,,,,,,,757.00 g,,,
,,,,,,,,,,,,,,,,,,,,,771.10 g,,,
,,,,,,,,,,,,,,,,,,,,,771.11 g,,,
,,,,,,,,,,,,,,,,,,,,,779.60 g,,,
,,,,,,,,,,,,,,,,,,,,,780.00 g,,,
,,,,,,,,,,,,,,,,,,,,,783.00 g,,,
,,,,,,,,,,,,,,,,,,,,,784.00 g,,,
,,,,,,,,,,,,,,,,,,,,,800.00 g,,,
,,,,,,,,,,,,,,,,,,,,,816.47 g,,,
,,,,,,,,,,,,,,,,,,,,,819.88 g,,,
,,,,,,,,,,,,,,,,,,,,,825.00 g,,,
,,,,,,,,,,,,,,,,,,,,,830.00 g,,,
,,,,,,,,,,,,,,,,,,,,,838.00 g,,,
,,,,,,,,,,,,,,,,,,,,,841.00 g,,,
,,,,,,,,,,,,,,,,,,,,,850.00 g,,,
,,,,,,,,,,,,,,,,,,,,,860.00 g,,,
,,,,,,,,,,,,,,,,,,,,,861.82 g,,,
,,,,,,,,,,,,,,,,,,,,,866.00 g,,,
,,,,,,,,,,,,,,,,,,,,,884.00 g,,,
,,,,,,,,,,,,,,,,,,,,,890.00 g,,,
,,,,,,,,,,,,,,,,,,,,,898.11 g,,,
,,,,,,,,,,,,,,,,,,,,,900.00 g,,,
,,,,,,,,,,,,,,,,,,,,,902.00 g,,,
,,,,,,,,,,,,,,,,,,,,,905.00 g,,,
,,,,,,,,,,,,,,,,,,,,,907.00 g,,,
,,,,,,,,,,,,,,,,,,,,,907.18 g,,,
,,,,,,,,,,,,,,,,,,,,,910.00 g,,,
,,,,,,,,,,,,,,,,,,,,,920.79 g,,,
,,,,,,,,,,,,,,,,,,,,,930.00 g,,,
,,,,,,,,,,,,,,,,,,,,,931.00 g,,,
,,,,,,,,,,,,,,,,,,,,,950.00 g,,,
,,,,,,,,,,,,,,,,,,,,,952.54 g,,,
,,,,,,,,,,,,,,,,,,,,,965.00 g,,,
,,,,,,,,,,,,,,,,,,,,,968.00 g,,,
,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,000.00 g,,,
,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,002.44 g,,,
,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,029.65 g,,,
,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,050.00 g,,,
,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,060.00 g,,,
,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,080.00 g,,,
,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,088.62 g,,,
,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,090.00 g,,,
,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,100.00 g,,,
,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,111.00 g,,,
,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,130.00 g,,,
,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,179.34 g,,,
,,,,,,,,,,,,,,,,,,,,,1,,,
