Average Seek Time,Battery Capacity,Bus Speed,Cable Length,Cache Memory,Clock Speed,Data Transfer Rate,Height,Input,Length,Memory,Memory Speed,Memory Type,Output Voltage,Power Supply,Price,Reading Speed,Rotational Speed,Screen Size,Storage Capacity,Warranty,Weight,Width,Writing Speed,Resolution
9 ms,5200 mAh,3,5 m,2 MB Level 2,0.8 GHz,1000000 Mbps,11.176 mm,100-240V~2.0A,0.94 cm,,,DDR3 SO-DIMM,,250  W,29.99 €,175 Mbps,,19 inch,12 x 8  TB,technical support,15.03 g,30.75 mm,20 Mbps,2
12 ms,5400 mAh,200 MHz,0.127 m,2x2 MB Level 2 cache,3.8 GHz,0.144 Mbps,11.4 mm,50 / 60Hz,0.98 cm,,,PC2-5300 DIMMs DDR2-667,,90 W,39.99 €,12 Mbps,,27 inch,0.12 TB,replacement option,15.88 g,31.20 mm,6 Mbps,560x1
4.9 ms,5600 mAh, 1,1.651 m,2x4 MB Level 2 cache,2 GHz,0.005 Mbps,12 mm,100-240V,1.06 cm,,,DDR4 (PC4-21300),,220  W,49.99 €,21 Mbps,,10.1 inch,1.2 TB,Satisfaction Guarantee,16.00 g,33.02 mm,,440 pixels
9.5 ms,5800 mAh,066 MHz,2.01 m,32 MB,0.08 GHz,0.144 Mbps,12.7 mm,1.5A,1.1 cm,,,GDDR3,,210  W,125 €,10 Mbps,,21.5 inch,0.128 TB,Phone consulting,17.00 g,35.00 mm,,1366 x 768
8.5 ms,6600 mAh,533 MHz,0.1524 m,32 MB DRAM,2.1 GHz,,13.462 mm,50/60Hz,1.14 cm,,,DDR3L SDRAM - SO-DIMM 204-pin,,800 W,135 €,12 Mbps,,8 inch,0.000128 TB,Advanced Replacement,17.01 g,38.10 mm,,300 x 300 dpi
7.6 ms,2600 mAh,66 MHz,38.989 m,48 MB,3.33 GHz,,13.8 mm,100-240V,1.18 cm,,,PC2-3200 DDR2,,90 W,95 €,,,7 inch,0.146  TB,,18.00 g,40.00 mm,,Up to 600 x 600dpi
4 ms),8800 mAh,450 MHz,0.5 m,4 MB,3.16 GHz,,15 mm,1.5A,1.22 cm,,,DDR2 SO-DIMM,,,140 €,,,21.5 inch,0.1468 TB,,18.14 g,40.64 mm,,1600 x 900
,4400 mah,555 MHz,3 m,4 MB L2,1.4 GHz,,15.24 mm,100-240VAC 0.5A 50-60Hz,1.34 cm,,,,,,150 €,,,22 inch,0.146 TB,,18.99 g,43.18 mm,,1680 x 1050 pixels
,7200 mAh,620 MHz,3.6576 m,4 MB L2 Cache,2.9 GHz,,16 mm,100-240V ~1.0-0.6A,1.38 cm,,,DDR4 SDRAM - SO-DIMM 260-pin,,,1,,,15.6 inch,0.147 TB,,19.00 g,43.50 mm,,Up to 9
,4800 mAh,150 MHz,1.2 m,4 MB L3 Cache,0.008 GHz,,16.764 mm,50/60Hz,1.57 cm,,,LPDDR3SDRAM,,,500 €,,,14 inch,0.014 TB,,19.85 g,44.96 mm,,600 x 2
,30000 mAh,460 MHz,1.0 m,4 MB L3 cache - Advanced Transfer Cache,2.26 GHz,,17.78 mm,100-240V~2.5A,2.05 cm,,,Fully Buffered Dimm,,,24.00 €,,,9.7 inch,1.5 TB,,20.00 g,45.72 mm,,400 dpi
,7800 mAh,880 MHz,2.1336 m,512 KB L2 cache - Advanced Transfer,1.26 GHz,,18 mm,50 / 60Hz,2.09 cm,,,DDR3 ECC,,,99.99 €,,,10.1 inch,0.016 TB,,20.13 g,46.00 mm,,2048*1536 IPS
,,900 MHz,0.3 m,512 MB,3.5 GHz,,19 mm,100-240V~1.8-0.6A,2.32 cm,,,DDR4 PC4-19200,,,69.99 €,,,23.6 inch,16 TB,,20.98 g,48.26 mm,,1920 x 1080
,,950 MHz,1 m,512 MB,1.90 GHz,,19.87 mm,50 / 60Hz,2.36 cm,,,DDR4 PC4-21300,,,,,,,16  TB,,21.00 g,50.80 mm,,7680\u2009√ó\u20094320 @ 60Hz (Digital)1
,,1,1.45 m,512 MB Read/Write,3.00 GHz,,19.99 mm,100-240V ~1.8A,2.6 cm,,,DDR4,,,,,,,16  TB,,21.30 g,52.00 mm,,1280x800 (WXGA)
,,050 MHz,145.0086 m,64 MB,1.80 GHz,,20 mm,50/60Hz,2.76 cm,,,DDR,,,,,,,0.16 TB,,21.55 g,53.00 mm,,1600 x 900 native
,,1,0.3048 m,8 MB L3 cache - Advanced Transfer Cache,2.6 GHz,,20.17 mm,DC 5V / 500MA,3.07 cm,,,DDR3L SO-DIMM,,,,,,,16GB,,22.00 g,53.34 mm,,600x600 dpi
,,100 MHz,1.83 m,8 MB,3.40 GHz,,20.32 mm,12-24V DC,3.95 cm,,,DDR4 SDRAM,,,,,,,0.016 TB,,22.11 g,53.40 mm,,Up to 4
,,1,0.02 m,8 MB L3 Cache,4.20 GHz,,20.4 mm,100-240V ~1A,4.13 cm,,,PC2100 DDR,,,,,,,0.016 TB,,22.60 g,54.00 mm,,800 x 1
,,200 MHz,1.8 m,ECC Protection,2.66 GHz,,22.86 mm,50/60Hz,6.5 cm,,,DDR4 (PC4-17000),,,,,,,0.016 TB,,22.68 g,55.88 mm,,200 dpi
,,80 MHz,2.0 m,Integrated 2 MB Level 2 Cache,2 GHz,,23 mm,AC 100-240V 50-60Hz,6.86 cm,,,Not specified by Manufacturer,,,,,,,0.016 TB,,22.96 g,56.80 mm,,Up to 1
,,50 MHz,16.4 m,Integrated 2 MB Level 2 Cache,2.67 GHz,,24.13 mm,DC12-24V,7.09 cm,,,DDR4 (PC4-27700),,,,,,,0.032 TB,,23.00 g,58.42 mm,,200 x 2
