Brand,Interface,Model,"Portable Memory (Pen, Memory Card...)",Processor,Material,Condition,Memory Speed,Screen Size,Operating System,Output Voltage,Battery Capacity,Storage Capacity,UPC,Color,Power Supply,Security,Memory,Graphics Card,Data Transfer Rate,Warranty,Category,Clock Speed,Compliant Standards,Cable Length,Input,Cache Memory,RAID Level,Processor Socket,Data Link Protocol,Battery Type,Processor Core,Average Seek Time,Rotational Speed,Weight,Generation,Product Type,Country of Origin,EAN,Memory Type,Reading Speed,Writing Speed,SKU,Resolution
a4-tech,Gigabit port,160407-B21,SDCZ36-128G-B35,Intel Pentium 4,aluminum magnesium alloys,,333MHz,12,Android 4.1,24V DC,2200mAh,10 x 400GB,088022161039,Smoke,1 x 33W,AES,8 GB DDR4 RAM,ATI Radeon HD 6770,160Mbps,3 Years Product Warranty,,2.90 GHz,IEEE 802.1D,10.0 / 3.0m,1.8 A,1x4MB Level 2 cache memory,6,Socket FCLGA-2011-v3,Gigabit Ethernet,Lithium Battery,hexadeca-core,7.4ms,,1.76 oz / 50 g,,Speakers,Indonesia,5099206048102,DDR4 (PC4-27200),14-16MB/sec,3M/S,STBE320200,Up to 600 x 600 dpi
ac ryan,10/100 Base-T Network I/F,163346-001,SDCZ43-128G-G46,Intel Pentium D 920,aluminum radiator,,400 MHz,22,Android 5.0,,2400mAh,10 x 450GB,092636323974,Blue,DC 5v 2A,encryption,3 Gb DDR2,Intel HD Graphics640,40MB/s,Advance Replacement,,3.80 GHz,IEEE 802.1Q,10 ft.,50 / 60 Hz,24MB,60,FCLGA-2011-3,Ethernet,A1175 Rechargeable Li-ion Battery,octadeca-core,12ms,,0.55 lbs / 0.25 kg,,Sleeve,AF,7340055318655,DDR4 (PC4-28800),21MB / sec,6MB/sec,CSE-515-R407,2560 x 1440 maximum
ace,10GBase-CX4,163587-002,SDCZ800-064G,Intel Pentium D 930,aluminum radiator copper water block,,533 MHz,20,Android 5.0 Lollipop,,9600mAh,10 x 600GB,761345151658,White,Universal AC Power Supply,face detection,8GB SDRAM,Intel HD Graphics6100,10.6GBps,Limited Lifetime Warranty,,3MHz,IEEE 802.3ab,30.48m,DC 5V 1A(Max),24MB Level 2 Cache,RAID 0 5 10,Socket AM3 PGA-941,Fast Ethernet,Sealed lead-acid,docasa-core,8.7ms,,15.87oz / 450g,,Cable,Malaysia,0087770963403,DDR2,12-13MB / sec,5-6MB / sec,NX.G6VEH.001,800/1600DPI
acer,10Gb Ethernet,169286-001,SDCZ800-128G,Intel Pentium D 930,anodised pure aluminium,,667 MHz,24,Android 5.1,,5200 mAh,1000GB,132017873800,Red,ICT12012-20A, 128bit AES,PC3200 DDR2,NVIDIA GeForce940MX,1 Gbps,Equipment Protection Policy,,3.73GHz,IEEE 802.1p,1.5 / 0.5m,AC100-240V,256 MB,RAID 0 1 5 6 10,Socket LGA-775,Gigabit Ethernet,2 x AAA (included),,11ms,,3.31 lb/1.50 kg,,Memory Upgrade Option,South Korea,0887770963403,DDR4 SO-DIMM,14 - 16MB / sec,4-5MB/sec,90XB01C0-BHS010,1000 DPI
acme,12 Gb/s SAS,169286-002,SDCZ880-128GB,Intel Xeon MP,anodized aluminum,,800 MHz,23,Android Marshmallow,,5200 mAh / 49 Wh,100GB,886523000877,Transparent Grey,1 x 87W,128bit DES,2 GB DDR3 SO-DIMM,Intel Iris Pro Graphics,1.2GBps,10 Years,,3.33 GHz,IEEE 802.3x,48.3 cm [19 in],AC 100V-240V 50-60Hz,256KB L2 cache,0 1 1+0 5 5+0,Socket LGA 2011-v3,10Gigabit Ethernet,A1331 Rechargeable Li-ion Battery,,8ms,,7.58 lbs (3.43 kg),,RAM Module,US,8716065274523,DDR3,12MB / s,8MB / s,VISEZD2102-5,Up to 1
acronis,Thunderbolt,169474-001,SDCZ880-256GB,Intel Core i5,ballistic nylon,,900 MHz,34,Android 6.0 Marshmallow,,5200MAH,1024MB,889842008647,Rose Red,120W,Infineon TPM Software Professional Package,1600MHz DDR3,Intel HD Graphics650,100 Mbps,Hardware Manufacturer Warranty,,733 MHz,IEEE 802.3ad (LACP),5m,1.5A,256MB,1 ADM,LGA771 Socket,Fast Ethernet,Lithium-ion Polymer,,2ms,,4.2 kg,,AMD Opteron,,4054842607664,DDR3 (PC3-12800),3MB / sec,2MB/sec,VIS_ZD2102,200 x 600 dpi with Automatic Image Refinement
act,260-pin,1710,SDDD3-064G,AMD Dual - Core Opteron 875,black ultra suede,,,10,Apple iOS 8,,5200mA,12GB,683728086404,Silver,ST-ZF240,WEP (128 bit),512MB DDR2 SDRAM,AMD Radeon,3G,International warranty,,2.60 GHz,IEEE 802.1w,5 feet,100-240V ~2A,2MB Integrated Level 3,6 ADG,Socket FCLGA-2011,10 Gigabit Ethernet,Li-ion Polymer Battery,,2.6ms,,0.32 kg,,Graphic Card,,8716065255348,DDR4 (PC4-19200),20MB/sec,9MB/sec,SFTP6A02,DVI Max Resolution 2560x1600
activision,3.5mm stereo plug,173828-001,SDDD3-128G,AMD Opteron,brass,,,11.6,Apple iOS 7,,5200mAH,12TB,815671012869,Transparent White,Nano Series PSU,TPM chip,384 bit GDDR5,NVIDIA GeForce 6150 SE,4G,advanced technical support,,3.3GHz,IEEE 802.1x,6.5 feet (201 cm),50/60Hz,2MB L2 cache,60,Socket PGA-940,Ethernet,Lithium Polymer,,8.9ms,,4.5 lb/2.04 kg,,Carrying Case,,0650590183470,DDR3 SDRAM - DIMM 240-pin,Up to 175MB/sec,Up to 175MB/sec,DS216play,Digital Max Resolution 2560x1600
adaptec,68-pin VHDCI LVD Ultra2 SCSI,176493-003,SDDDC2-064G,Intel Core i7,canvas,,,19,Chrome,,5200mAh,12 x 8 TB,884102025150,Linen White,240V,AES-CCMP: 128 bit;,2 Gb DDR3 SO-DIMM,Intel Iris Graphics 550,5G,technical support,,800MHz,IEEE 802.1s,6 ft,100-240V~2.0A,2MB L3 cache,RAID 0 1 5 10 ADG,Socket H4 LGA-1151,Ethernet,,,9ms,,0.4oz,,Power Supply Hot-Plug,,0767035183657,DDR3 SO-DIMM,12MB/sec,9MB / sec,PY.25008.035,2
adata,8 x 10/100/1000 Mbps,176496-B22,SDDDC2-128G,AMD 885 Dual-Core Opteron,carbon fiber,,,27,Chrome OS,,5400mAh,120GB,888793821268,Light Purple,50/60 Hz,Firewall,Flash Memory: 64 MB,Intel Iris Graphics 540,100Gbps,replacement option,,3.8GHz,UL,15.35  / 39 cm,50 / 60Hz,2MB Level 2,0 0+1 1 5 50 6 60 ADG,Socket 603,Fast Ethernet,,,12ms,,1.8 lbs.,,Parallel Port Adaptor,,7670351836578,PC2-5300 DIMMs DDR2-667,21MB/sec,16 - 22 MB / s,PSCQEE-01D004DU,560x1
